2026-09-15 16:46:18 [INFO] ▶ 开始每日更新...
2026-09-15 16:46:18 [INFO] ===== 开始每日更新 2026-09-15 =====
2026-09-15 16:46:18 [WARNING] 检测到缺少数据: 2026-09-15
2026-09-15 16:46:18 [INFO] 需要补全数据: ['2026-09-15']
2026-09-15 16:46:18 [INFO] 
==================================================
2026-09-15 16:46:18 [INFO] 开始抓取 2026-09-15 的论文
2026-09-15 16:46:18 [INFO] ==================================================
2026-09-15 16:46:18 [INFO] Step 1: 抓取 PubMed 新论文
2026-09-15 16:46:20 [INFO]         Habitat-dependent viral dynamics and auxiliary metabolism in ecological floating beds: implications for biogeochemical function.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [25] PMID 42736401 | International journal of legal medicine
2026-09-15 16:46:20 [INFO]         Individual identification and time since deposition estimation based on community structure and absolute abundance of the exposed vaginal microbiome.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: International journal of legal medicine
2026-09-15 16:46:20 [INFO]     [26] PMID 42520901 | Environmental research
2026-09-15 16:46:20 [INFO]         Fe2+ alters carbon and nitrogen metabolic networks in a composite microbial consortium: Metagenomic insights into the shift from denitrification to DNRA.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [27] PMID 42623874 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Microplastics as vectors for microbial pollutants: Biofilm-associated transfer of pathogens and antibiotic resistance genes in zebrafish intestine.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of hazardous materials
2026-09-15 16:46:20 [INFO]     [28] PMID 42480835 | Environmental research
2026-09-15 16:46:20 [INFO]         Functional instability and community-level compensatory mechanisms in the anammox system under long-term acetamiprid stress.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [29] PMID 42214271 | Water research
2026-09-15 16:46:20 [INFO]         Microbial melanin-like material: A factor beyond influencing the brown color of activated sludge.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Water research
2026-09-15 16:46:20 [INFO]     [30] PMID 42731011 | Expert review of clinical immunology
2026-09-15 16:46:20 [INFO]         Exploring novel and evolved tools in atopic dermatitis diagnosis.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Expert review of clinical immunology
2026-09-15 16:46:20 [INFO]     [31] PMID 42679573 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Microplastic aging drives convergence of the plastisphere microbiome and resistome toward agricultural soils.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of hazardous materials
2026-09-15 16:46:20 [INFO]     [32] PMID 42648179 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Simultaneous removal of nitrogen, Cu2+, and bisphenol A in a hydrogel-biochar-AQDS immobilized bioreactor with added bicarbonate: Performance and metagenomic insights.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of hazardous materials
2026-09-15 16:46:20 [INFO]     [33] PMID 42364687 | Environmental research
2026-09-15 16:46:20 [INFO]         Geochemical and microbial functional responses of surface soil to simulated low-concentration CO2 leakage from geological storage.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [34] PMID 42740563 | Oral diseases
2026-09-15 16:46:20 [INFO]         The Oral Microbiome-Inflammaging Axis in Elderly Periodontitis: Emerging Immunopathogenic and Systemic Mechanisms.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Oral diseases
2026-09-15 16:46:20 [INFO]     [35] PMID 42372843 | Environmental research
2026-09-15 16:46:20 [INFO]         Microplastics as emerging viral vectors: Nexus, mechanisms, ecological implications and health risks.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [36] PMID 42740690 | Carcinogenesis
2026-09-15 16:46:20 [INFO]         Fueling Early Tumorigenesis: Interplay Between the Exposome, Obesity-Driven Metabolic Dysfunction and Early-Onset Colorectal and Breast Cancer.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Carcinogenesis
2026-09-15 16:46:20 [INFO]     [37] PMID 42476406 | Environmental research
2026-09-15 16:46:20 [INFO]         Nanoconfined humic acid-supported nZVI enhances imidacloprid remediation without compromising soil microbiome or exacerbating ARG health risks.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [38] PMID 42612534 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Mechanism exploration of divergent partial denitrification performance under tetracycline stress: Insights from functional gene, electron transport and molecular docking.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of hazardous materials
2026-09-15 16:46:20 [INFO]     [39] PMID 42673797 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Antipyretic pharmaceuticals intensify sewer H2S accumulation linked to biofilm matrix remodeling and altered sulfur metabolic potential.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of hazardous materials
2026-09-15 16:46:20 [INFO]     [40] PMID 42105976 | Neuropharmacology
2026-09-15 16:46:20 [INFO]         Paraprobiotics attenuate oxidative stress, dopaminergic neuron loss, and gut microbiome imbalance in an intranasal MPTP rat model of Parkinson's disease.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Neuropharmacology
2026-09-15 16:46:20 [INFO]     [41] PMID 42687847 | FASEB journal : official publication of the Federation of American Societies for Experimental Biology
2026-09-15 16:46:20 [INFO]         Bile Acid Metabolism as a Unifying Readout for Diet, Microbiome Function, and Gastrointestinal Disease.
